Bar Counter,,,,,,,,,,Out of Stock,,
PRODUCT ,Brand (Shop),QTY,,,,,,,,PRODUCT ,QTY,
Coffee Beans,Silcafe (Blend 2) Shopee,500 grams,,,,,,,,Hazelnut Syrup,EasyBrand (Milktea Supply Marbel),0
Dulagan Coffee powder,?,?,,,,,,,,Gin,Genebra (Kwatro Kantos,0
Full Cream Milk,Jersey (Milktea Supply Marbel),4750ml,,,,,,,,Tequila,El Hobre,0
Condense Milk,Alaska,350ml,,,,,,,,Orange Juice powder,Tang,0
Hazelnut Syrup,EasyBrand (Milktea Supply Marbel),0,,,,,,,,Soda Water,Sprite,0
French Vanilla Syrup,EasyBrand (Milktea Supply Marbel),1000ml,,,,,,,,Chili Powder,?,0
Caramel Syrup,EasyBrand (Milktea Supply Marbel),560ml,,,,,,,,,,
Salted Caramel Syrup,EasyBrand (Milktea Supply Marbel),750ml,,,,,,,,,,
Mocha Syrup,EasyBrand (Milktea Supply Marbel),1125ml,,,,,,,,,,
Matcha powder,UCC 15g Sachet 10pcs (Shopee),30pcs,,,,,,,,,,
Strawberry Jam,?,?,,,,,,,,,,
Corn Syrup,Milktea Supply Marbel,750ml,,,,,,,,,,
Ice,Resort,2000 grams,,,,,,,,,,
Gin,Genebra (Kwatro Kantos,0,,,,,,,,,,
Rum,Tanduay Dark,950ml,,,,,,,,,,
Tequila,El Hobre,0,,,,,,,,,,
Whiskey,Andy Player ,250ml,,,,,,,,,,
Orange Juice powder,Tang,0,,,,,,,,,,
Pomelo Juice powder,Tang,6 pcs,,,,,,,,,,
Calamansi Juice powder,Tang,2 pcs,,,,,,,,,,
Soda Water,Sprite,0,,,,,,,,,,
Grenadine,Walsh/Orchid,750 ml,,,,,,,,,,
Blue Curacao,Walsh/Orchid,1750ml,,,,,,,,,,
Lime Juice,Walsh/Orchid,1125ml,,,,,,,,,,
Pulverize Salt,Rock Salted (grind or use mortar and pestle,150 grams,,,,,,,,,,
Chili Powder,?,0,,,,,,,,,,
Tajin bottle,?,150 grams,,,,,,,,,,
Cinamon,?,200 grams,,,,,,,,,,
Dried Lemon,Shopee,0,,,,,,,,,,
Dried Orange,Shopee,300 grams,,,,,,,,,,
Cucumber ,Kitchen,1 pcs,,,,,,,,,,
Calamansi ,Kitchen,10 pcs,,,,,,,,,,
Lemon,?,0,,,,,,,,,,
Staw (black),,50 pcs,,,,,,,,,,
Papercup with Lid (120z),,50 pcs,,,,,,,,,,
Plastic Cup (12oz),,100 pcs,,,,,,,,,,